Wort;Positive;Negative;Ekel;Freude;Furcht;Trauer;Überraschung;Verachtung;Wut
Amateur;0;0;0;0;0;0;0;1;0
Ambulanz;0;0;0;0;1;0;0;0;0
Amok;0;0;0;0;0;0;0;0;1
amüsant;0;0;0;1;0;0;0;0;0
Amüsement;0;0;0;1;0;0;0;0;0
amüsieren;0;0;0;1;0;0;0;0;0
Anarchie;0;0;0;0;1;0;0;0;0
Anarchismus;0;0;0;0;1;0;0;0;0
androhen;0;0;0;0;1;0;0;0;0
Androhung;0;0;0;0;1;0;0;0;0
anekeln;0;0;1;0;0;0;0;1;0
Anerkennung;0;0;0;1;0;0;0;0;0
Anfall;0;0;0;0;0;0;0;0;1
anfallen;0;0;0;0;0;0;0;0;1
Anfänger;0;0;0;0;0;0;0;1;0
Anfeindungen;0;0;0;0;0;0;0;0;1
Angabe;0;0;0;0;0;0;0;1;0
Angeber;0;0;0;0;0;0;0;1;0
Angeberei;0;0;0;0;0;0;0;1;0
angeberhaft;0;0;0;0;0;0;0;1;0
angeberisch;0;0;0;0;0;0;0;1;0
Angebertum;0;0;0;0;0;0;0;1;0
angenehm;0;0;0;1;0;0;0;0;0
angepasst;0;0;0;0;0;0;0;1;0
angepisst;0;0;0;0;0;0;0;1;0
angespannt;0;0;0;0;1;0;0;0;0
Angina;0;0;0;0;1;0;0;0;0
angreifen;0;0;0;0;0;0;0;0;1
Angreifer;0;0;0;0;1;0;0;0;0
Angriff;0;0;0;0;1;0;1;0;1
Angriffslust;0;0;0;0;0;0;0;0;1
Angriffspunkt;0;0;0;0;0;0;0;1;0
Angst;0;0;0;0;1;0;0;0;0
Angstanfall;0;0;0;0;1;0;0;0;0
angsterfüllt;0;0;0;0;1;0;0;0;0
Angstgefühl;0;0;0;0;1;0;0;0;0
Angsthase;0;0;0;0;1;0;0;1;0
ängstigen;0;0;0;0;1;0;0;0;0
ängstlich;0;0;0;0;1;0;0;0;0
Ängstlichkeit;0;0;0;0;1;0;0;0;0
Angstschweiß;0;0;0;0;1;0;0;0;0
Angststörung;0;0;0;0;1;0;0;0;0
Angsttraum;0;0;0;0;1;0;0;0;0
angstverzerrt;0;0;0;0;1;0;0;0;0
angstvoll;0;0;0;0;1;0;0;0;0
Angstzustand;0;0;0;0;1;0;0;0;0
Angstzustände;0;0;0;0;1;0;0;0;0
Animosität;0;0;0;0;1;1;0;0;1
Ankläger;0;0;0;0;1;0;0;0;1
ankotzen;0;0;1;0;0;0;0;0;0
anlächeln;0;0;0;1;0;0;0;0;0
Anmaßung;0;0;0;0;0;0;0;1;0
anmeiern;0;0;0;0;0;0;0;1;0
anmotzen;0;0;0;0;0;0;0;1;0
Anomalie;0;0;0;0;1;0;0;0;0
anpampen;0;0;0;0;0;0;0;1;0
anpöbeln;0;0;0;0;0;0;0;1;0
Anrüchigkeit;0;0;0;0;0;0;0;1;0
Anschlag;0;0;0;0;1;0;0;0;0
anschmieren;0;0;0;0;0;0;0;1;0
anschwärzen;0;0;0;0;0;0;0;1;0
Ansehen;0;0;0;1;0;0;0;0;0
anspannen;0;0;0;0;1;0;0;0;0
Anspannung;0;0;0;0;1;0;0;0;0
ansprechend;0;0;0;1;0;0;0;0;0
Ansteckung;0;0;1;0;0;0;0;0;0
anstinken;0;0;1;0;0;0;0;0;0
anstößig;0;0;1;0;0;0;0;0;0
Antichrist;0;0;0;0;1;0;0;0;0
Antipathie;0;0;1;0;0;0;0;0;0
antipathisch;0;0;0;0;0;0;0;0;1
Anus;0;0;1;0;0;0;0;0;0
Anwalt;0;0;0;0;1;0;0;0;0
anwidern;0;0;1;0;0;0;0;1;0
Apache;0;0;0;0;1;0;0;0;0
Apathie;0;0;0;0;0;1;0;0;0
applaudieren;0;0;0;1;0;0;0;0;0
Applaus;0;0;0;1;0;0;0;0;0
arg;0;0;1;0;0;0;0;0;1
Ärger;0;0;0;0;0;0;0;0;1
ärgerlich;0;0;0;0;0;0;0;0;1
ärgerlicherweise;0;0;0;0;0;0;0;0;1
Ärgerlichkeiten;0;0;0;0;0;0;0;0;1
ärgern;0;0;0;0;0;0;0;0;1
Ärgernis;0;0;0;0;0;0;0;0;1
arglistig;0;0;0;0;0;0;0;1;0
arm;0;0;0;0;0;1;0;1;0
Armleuchter;0;0;0;0;0;0;0;1;0
ärmlich;0;0;0;0;0;1;0;1;0
armselig;0;0;0;0;0;0;0;1;0
armselige;0;0;0;0;0;0;0;1;0
Arsch;0;0;1;0;0;0;0;1;0
Arschgeige;0;0;0;0;0;0;0;1;0
Arschgesicht;0;0;0;0;0;0;0;1;0
Arschkriecher;0;0;0;0;0;0;0;1;0
Arschlecken!;0;0;0;0;0;0;0;1;0
Arschloch;0;0;0;0;0;0;0;1;0
Arsen;0;0;0;0;1;0;0;0;0
Artikellosigkeit;0;0;0;0;0;0;0;1;0
Artillerie;0;0;0;0;1;0;0;0;0
Arzt;0;0;0;0;1;0;0;0;0
Asche;0;0;0;0;0;1;0;0;0
Asis;0;0;0;0;0;0;0;1;0
Asoziale;0;0;0;0;0;0;0;1;0
Aspiration;0;0;0;1;0;0;0;0;0
Ästhetik;0;0;0;1;0;0;0;0;0
astrein;0;0;0;1;0;0;0;0;0
Asyl;0;0;0;0;1;0;0;0;0
atemberaubend;0;0;0;1;0;0;1;0;0
Atemlosigkeit;0;0;0;0;0;0;1;0;0
atemraubend;0;0;0;1;0;0;1;0;0
Atherosklerose;0;0;0;0;1;0;0;0;0
Atrophie;0;0;0;0;1;0;0;0;0
Attacke!;0;0;0;0;0;0;1;0;0
attrappieren;0;0;0;0;0;0;1;0;0
ätzend;0;0;1;0;0;0;0;1;1
aufbrausen;0;0;0;0;0;0;0;0;1
aufbrausend;0;0;0;0;0;0;1;0;1
aufbringen;0;0;0;0;0;0;0;0;1
Aufeinanderprallen;0;0;0;0;1;0;0;0;0
Aufeinandertreffen;0;0;0;0;0;0;1;0;0
auffallend;0;0;0;0;0;0;1;0;0
Aufgeben;0;0;0;0;1;1;0;0;0
aufgeblasen;0;0;0;0;0;0;0;1;0
aufgebracht;0;0;0;0;0;0;0;1;0
Aufgebrachtheit;0;0;0;0;0;0;0;0;1
Aufgebrachtsein;0;0;0;0;0;0;0;0;1
aufgepasst!;0;0;0;0;0;0;1;0;0
aufgeregt;0;0;0;0;0;0;0;0;1
Aufgeregtheit;0;0;0;0;0;0;0;0;1
aufheitern;0;0;0;1;0;0;0;0;0
aufhellen;0;0;0;1;0;0;0;0;0
aufpassen!;0;0;0;0;0;0;1;0;0
aufregen;0;0;0;0;0;0;0;0;1
Aufregung;0;0;0;0;0;0;0;0;1
Aufruhr;0;0;0;0;0;0;0;0;1
aufsässig;0;0;0;0;0;0;0;1;0
aufscheuchen;0;0;0;0;0;0;1;0;0
Aufschneider;0;0;0;0;0;0;0;1;0
Aufschneiderei;0;0;0;0;0;0;0;1;0
aufschneiderisch;0;0;0;0;0;0;0;1;0
aufschrecken;0;0;0;0;0;0;1;0;0
Aufschrei;0;0;0;0;1;0;0;0;0
aufstreben;0;0;0;1;0;0;0;0;0
Aufwallung;0;0;0;0;0;0;0;0;1
aufwecken;0;0;0;0;0;0;1;0;0
aufwirbeln;0;0;0;0;0;0;1;0;0
aufwühlend;0;0;0;0;0;1;0;0;0
Augenwischerei;0;0;0;0;0;0;0;1;0
auhässlich;0;0;0;0;0;0;0;1;0
ausbrechen;0;0;0;0;0;0;0;0;1
ausdrehen;0;0;0;0;0;0;0;0;1
Ausdünstung;0;0;1;0;0;0;0;1;0
Auseinandergehen;0;0;0;0;0;1;0;0;0
Auseinandersetzung;0;0;0;0;0;0;0;0;1
ausflippen;0;0;0;0;0;0;0;0;1
ausgefranst;0;0;0;0;0;0;0;1;0
ausgelassen;0;0;0;1;0;0;0;0;0
Ausgelassenheit;0;0;0;1;0;0;0;0;0
ausgeleiert;0;0;0;0;0;0;0;1;0
ausgelutscht;0;0;0;0;0;0;0;1;0
ausgemergelt;0;0;0;0;0;0;0;1;0
ausgezehrt;0;0;0;0;0;0;0;1;0
ausgezeichnet;0;0;0;1;0;0;0;0;0
ausklinken;0;0;0;0;0;0;0;0;1
auskotzen;0;0;1;0;0;0;0;0;0
auslachen;0;0;0;0;0;0;0;1;0
ausrasten;0;0;0;0;0;0;0;0;1
Ausrede;0;0;0;0;0;0;0;1;0
Ausrutscher;0;0;0;0;0;0;0;1;0
Ausscheidung;0;0;1;0;0;0;0;0;0
ausschweifend;0;0;0;0;0;0;0;1;0
Außenseiter;0;0;0;0;0;1;0;0;0
aussichtslos;0;0;0;0;1;0;0;0;0
Aussichtslosigkeit;0;0;0;0;0;1;0;0;0
austicken;0;0;0;0;0;0;0;0;1
ausweglos;0;0;0;0;0;1;0;0;0
Ausweglosigkeit;0;0;0;0;0;1;0;0;0
auszehrend;0;0;0;0;0;1;0;0;0
Auszeichnung;0;0;0;1;0;0;1;0;0
auszucken;0;0;0;0;0;0;0;0;1
Autoaggression;0;0;0;0;0;1;0;0;0
autoaggressiv;0;0;0;0;0;1;0;0;0
Autodestruktion;0;0;0;0;0;1;0;0;0
Autopsie;0;0;0;0;1;0;0;0;0
Aversion;0;0;1;0;0;0;0;0;0
Babe;0;0;0;1;0;0;0;0;0
babyrosa;0;0;0;1;0;0;0;0;0
Backpfeife;0;0;0;0;0;0;0;1;0
baff;0;0;0;0;0;0;1;0;0
Bagage;0;0;0;0;0;0;0;1;0
Bagatelle;0;0;0;0;0;0;0;1;0
Bajonett;0;0;0;0;1;0;0;0;0
Bakterium;0;0;0;0;1;0;0;0;0
ballaballa;0;0;0;0;0;0;0;1;0
Ballermann;0;0;0;1;0;0;0;0;0
Balsam;0;0;0;1;0;0;0;0;0
Balz;0;0;0;1;0;0;0;0;0
Bammel;0;0;0;0;1;0;0;0;0
banal;0;0;0;0;0;0;0;1;0
banalisieren;0;0;0;0;0;0;0;1;0
Banalität;0;0;0;0;0;0;0;1;0
Bande;0;0;0;0;0;0;0;1;0
Bandit;0;0;0;0;0;0;0;1;0
bang;0;0;0;0;1;1;0;0;0
Bange;0;0;0;0;1;0;0;0;0
bange;0;0;0;0;0;1;0;0;0
Bangemachen;0;0;0;0;1;0;0;0;0
bangen;0;0;0;0;1;0;0;0;0
Bangigkeit;0;0;0;0;1;0;0;0;0
bänglich;0;0;0;0;1;0;0;0;0
Bangnis;0;0;0;0;1;0;0;0;0
Bankett;0;0;0;1;0;0;0;0;0
Barbar;0;0;0;0;0;0;0;1;0
barbarisch;0;0;0;0;0;0;0;1;0
bärbeißig;0;0;0;0;0;0;0;1;0
Barrikade;0;0;0;0;1;0;0;0;0
barsch;0;0;0;0;0;0;1;0;0
Bastard;0;0;0;0;0;0;0;0;1
Bauchlandung;0;0;0;0;0;1;0;0;0
Bauernfänger;0;0;0;0;0;0;0;1;0
Bauernfängerei;0;0;0;0;0;0;0;1;0
Bauerntölpel;0;0;0;0;0;0;0;1;0
Bauerntrampel;0;0;0;0;0;0;0;1;0
Bazille;0;0;1;0;0;0;0;0;0
Beachtung;0;0;0;1;0;0;0;0;0
beängstigen;0;0;0;0;1;0;0;0;0
beängstigend;0;0;0;0;1;0;0;0;0
Beben;0;0;0;0;1;0;0;0;1
beben;0;0;0;0;1;0;0;0;0
bedauerlich;0;0;0;0;0;1;0;0;0
bedauerlicherweise;0;0;0;0;0;1;0;0;0
Bedauern;0;0;0;0;0;1;0;0;0
bedauern;0;0;0;0;0;1;0;0;0
bedauernswert;0;0;0;0;0;1;0;0;0
bedauernswürdig;0;0;0;0;0;1;0;0;0
Bedenken;0;0;0;0;0;0;0;1;0
Bedenkenträger;0;0;0;0;0;1;0;0;0
bedenklich;0;0;0;0;1;1;0;0;0
bedeppert;0;0;0;0;0;0;1;0;0
Bedeutungslosigkeit;0;0;0;0;0;0;0;1;0
Bedrängnis;0;0;0;0;0;1;0;0;0
bedrohen;0;0;0;0;1;0;0;0;0
bedrohlich;0;0;0;0;1;0;0;0;0
Bedrohung;0;0;0;0;1;0;0;0;0
bedröppelt;0;0;0;0;0;1;0;0;0
bedrücken;0;0;0;0;0;1;0;0;0
bedrückend;0;0;0;0;0;1;0;0;0
Bedrücktheit;0;0;0;0;0;1;0;0;0
Bedrückung;0;0;0;0;0;1;0;0;0
Bedrückungen;0;0;0;0;0;1;0;0;0
bedürftig;0;0;0;0;0;1;0;0;0
Beerdigung;0;0;0;0;0;1;0;0;0
Befreiung;0;0;0;1;0;0;0;0;0
Befremden;0;0;0;0;0;0;1;0;0
befremden;0;0;0;0;0;0;1;0;0
befremdlich;0;0;0;0;0;0;1;0;0
befreunden;0;0;0;1;0;0;0;0;0
Befriedigung;0;0;0;1;0;0;0;0;0
befürchten;0;0;0;0;1;0;0;0;0
Befürchtung;0;0;0;0;1;0;0;0;0
begeistern;0;0;0;1;0;0;1;0;0
begeistert;0;0;0;1;0;0;0;0;0
Begeisterung;0;0;0;1;0;0;0;0;0
begeisterungsfähig;0;0;0;0;0;0;1;0;0
Begeisterungsfähigkeit;0;0;0;1;0;0;0;0;0
Begeisterungssturm;0;0;0;1;0;0;0;0;0
begeklagt;0;0;0;0;0;1;0;0;0
Begleitperson;0;0;0;0;0;0;0;1;0
Begleitung;0;0;0;1;0;0;0;0;0
beglücken;0;0;0;1;0;0;0;0;0
Beglückung;0;0;0;1;0;0;0;0;0
Beglückwünschen;0;0;0;1;0;0;0;0;0
Beglückwünscher;0;0;0;1;0;0;0;0;0
begrüßenswert;0;0;0;1;0;0;0;0;0
Begünstigter;0;0;0;0;0;0;0;1;0
Behagen;0;0;0;1;0;0;0;0;0
behagen;0;0;0;1;0;0;0;0;0
behaglich;0;0;0;1;0;0;0;0;0
behämmert;0;0;0;0;0;0;0;1;0
Behinderung;0;0;0;0;1;0;0;0;0
Beifall;0;0;0;1;0;0;0;0;0
Beifälligkeit;0;0;0;1;0;0;0;0;0
Beifallsäußerung;0;0;0;1;0;0;0;0;0
Beifallsbekundung;0;0;0;1;0;0;0;0;0
Beifallsbezeigung;0;0;0;1;0;0;0;0;0
Beifallsorkan;0;0;0;1;0;0;0;0;0
Beifallsrauschen;0;0;0;1;0;0;0;0;0
Beifallssturm;0;0;0;1;0;0;0;0;0
Beileid;0;0;0;0;0;1;0;0;0
Beipflichtung;0;0;0;1;0;0;0;0;0
Bejahung;0;0;0;1;0;0;0;0;0
bejammern;0;0;0;0;0;1;0;0;0
bejammernswert;0;0;0;0;0;1;0;0;0
bejubeln;0;0;0;1;0;0;0;0;0
beklagen;0;0;0;0;0;1;0;0;0
beklagenswert;0;0;0;0;0;1;0;0;0
Beklagte;0;0;0;0;1;0;0;0;0
beklatschen;0;0;0;1;0;0;0;0;0
beklemmend;0;0;0;0;1;1;0;0;0
Beklemmung;0;0;0;0;1;0;0;0;0
beklommen;0;0;0;0;1;1;0;0;0
Beklommenheit;0;0;0;0;1;0;0;0;0
bekloppt;0;0;0;0;0;0;0;1;0
Bekloppter;0;0;0;0;0;0;0;1;0
Beklopptheit;0;0;0;0;0;0;0;1;0
beknackt;0;0;0;0;0;0;0;1;0
Beknacktheit;0;0;0;0;0;0;0;1;0
bekritteln;0;0;0;0;0;0;0;1;0
bekümmern;0;0;0;0;0;0;0;0;1
bekümmert;0;0;0;0;0;1;0;0;0
Bekümmertheit;0;0;0;0;0;1;0;0;0
belächeln;0;0;0;0;0;0;0;1;0
belämmert;0;0;0;0;0;0;0;1;0
Belangloses;0;0;0;0;0;0;0;1;0
Belanglosigkeit;0;0;0;0;0;0;0;1;0
Belanglosigkeiten;0;0;0;0;0;0;0;1;0
belästigen;0;0;0;0;0;0;0;1;1
Belästigung;0;0;0;0;0;0;0;0;1
beleibt;0;0;0;0;0;0;0;1;0
beleidigen;0;0;0;0;0;0;0;1;0
Beleidigung;0;0;0;0;0;1;0;1;0
beliebig;0;0;0;0;0;0;0;1;0
Belobigung;0;0;0;1;0;0;0;0;0
belustigen;0;0;0;1;0;0;0;0;0
belustigend;0;0;0;0;0;0;0;1;0
Belustigung;0;0;0;1;0;0;0;1;0
bemäkeln;0;0;0;0;0;0;0;1;0
bemänteln;0;0;0;0;0;0;0;1;0
bemitleidenswert;0;0;0;0;0;1;0;0;0
Benachrichtigung;0;0;0;0;0;0;1;0;0
Benachteiligung;0;0;0;0;0;0;0;1;0
benaut;0;0;0;0;1;0;0;0;0
Bengel;0;0;0;0;0;0;0;1;0
Berber;0;0;0;0;0;0;0;1;0
berserkern;0;0;0;0;0;0;0;0;1
Berühmtheit;0;0;0;1;0;0;0;0;0
berührend;0;0;0;0;0;1;0;0;0
bescheuert;0;0;0;0;0;0;0;1;0
Beschimpfung;0;0;0;0;0;0;0;1;0
beschissen;0;0;1;0;0;0;0;1;1
beschmutzen;0;0;1;0;0;0;0;0;0
beschönigen;0;0;0;0;0;0;0;1;0
Beschönigung;0;0;0;0;0;0;0;1;0
beschränkt;0;0;0;0;0;0;0;1;0
Beschränktheit;0;0;0;0;0;0;0;1;0
Beschränkung;0;0;0;0;0;0;0;1;0
Beschuss;0;0;0;0;1;0;0;0;0
Beschwerde;0;0;0;0;0;0;0;0;1
Beschwerden;0;0;0;0;0;1;0;0;0
beschweren;0;0;0;0;0;0;0;0;1
beschwingt;0;0;0;1;0;0;0;0;0
besemmelt;0;0;0;0;0;0;0;1;0
Besorger;0;0;0;0;0;0;0;1;0
besorglich;0;0;0;0;1;0;0;0;0
Besorgnis;0;0;0;0;1;0;0;0;0
besorgniserregend;0;0;0;0;1;1;0;0;0
besorgt;0;0;0;0;1;1;0;0;0
bespötteln;0;0;0;0;0;0;0;1;0
Besserwessi;0;0;0;0;0;0;0;1;0
Besserwisser;0;0;0;0;0;0;0;1;0
beständig;0;0;0;0;0;1;0;0;0
Bestätigung;0;0;0;1;0;0;0;0;0
bestechen;0;0;0;0;0;1;0;0;0
Bestie;0;0;0;0;1;0;0;1;0
Bestreitung;0;0;0;0;0;0;0;1;0
bestürzen;0;0;0;0;0;0;1;0;0
bestürzt;0;0;0;0;0;1;1;0;0
Bestürzung;0;0;0;0;1;0;1;0;0
bestusst;0;0;0;0;0;0;0;1;0
besudeln;0;0;0;0;0;0;0;1;0
betören;0;0;0;1;0;0;0;0;0
betörend;0;0;0;1;0;0;0;0;0
betrauern;0;0;0;0;0;1;0;0;0
betreten;0;0;0;0;0;1;0;0;0
Betretenheit;0;0;0;0;0;1;0;0;0
betroffen;0;0;0;0;0;1;0;0;0
Betroffener;0;0;0;0;1;1;0;0;0
Betroffenheit;0;0;0;0;0;1;0;0;0
betrogen;0;0;0;0;0;1;0;0;0
betrüben;0;0;0;0;0;1;0;0;0
betrübend;0;0;0;0;0;1;0;0;0
Betrübnis;0;0;0;0;0;1;0;0;0
Betrübnisse;0;0;0;0;0;1;0;0;0
betrübt;0;0;0;0;0;1;0;0;0
Betrübtheit;0;0;0;0;0;1;0;0;0
Betrug;0;0;0;0;1;1;0;1;0
betrügen;0;0;0;0;0;0;0;1;0
Betrüger;0;0;0;0;0;0;0;1;0
Betrügerei;0;0;0;0;0;0;0;1;0
betrügerisch;0;0;0;0;0;1;0;0;0
Bettler;0;0;0;0;0;1;0;1;0
betupft;0;0;0;0;0;0;0;1;0
beunruhigen;0;0;0;0;1;0;0;0;0
beunruhigend;0;0;0;0;1;0;0;0;0
beunruhigt;0;0;0;0;1;0;0;0;0
Beunruhigung;0;0;0;0;1;0;0;0;0
Bevormundung;0;0;0;0;0;0;0;1;0
bewährt;0;0;0;1;0;0;0;0;0
bewegt;0;0;0;1;0;0;0;0;0
bewundern;0;0;0;1;0;0;0;0;0
Bewunderung;0;0;0;1;0;0;0;0;0
bezaubern;0;0;0;1;0;0;0;0;0
bezaubernd;0;0;0;1;0;0;0;0;0
bezirzen;0;0;0;1;0;0;0;0;0
bibbern;0;0;0;0;1;0;0;0;1
bieder;0;0;0;0;0;0;0;1;0
Bier;0;0;0;1;0;0;0;0;0
Biest;0;0;0;0;0;0;0;1;0
biestig;0;0;0;0;0;0;0;1;0
bigott;0;0;0;0;0;0;0;1;0
Bigotterie;0;0;0;0;0;0;0;1;0
billig;0;0;0;0;0;0;0;1;0
Billigroman;0;0;0;0;0;0;0;1;0
Bimbo;0;0;0;0;0;0;0;1;0
Binse;0;0;0;0;0;0;0;1;0
Binsenweisheit;0;0;0;0;0;0;0;1;0
Biopsie;0;0;0;0;1;0;0;0;0
birnig;0;0;0;0;0;0;0;1;0
bitter;0;0;0;0;0;1;0;0;0
bitterarm;0;0;0;0;0;1;0;0;0
bitterböse;0;0;0;0;0;1;0;0;1
bitterkalt;0;0;0;0;0;1;0;0;0
Bitterkeit;0;0;0;0;0;1;0;0;0
bitterlich;0;0;0;0;0;1;0;0;0
Bitternis;0;0;0;0;0;1;0;0;1
bittersüß;0;0;0;0;0;1;0;0;0
bizarr;0;0;0;0;0;0;1;1;0
bla;0;0;0;0;0;0;0;1;0
Blabla;0;0;0;0;0;0;0;1;0
Blablabla;0;0;0;0;0;0;0;1;0
Blag;0;0;0;0;0;0;0;1;0
blamabel;0;0;0;0;0;0;0;1;0
Blamage;0;0;0;0;0;1;0;1;0
blamieren;0;0;0;0;0;0;0;1;0
Blase;0;0;1;0;0;0;0;0;0
blasphemieren;0;0;0;0;0;0;0;1;0
blasphemisch;0;0;0;0;0;0;0;1;0
blass;0;0;0;0;0;0;0;1;0
blauäugig;0;0;0;0;0;0;0;1;0
bleich;0;0;0;0;1;0;0;0;0
Blender;0;0;0;0;0;0;0;1;0
