;Wort;Häufigkeit;Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
234;homosexuell;1;0;1;0;0;1;0;0;1;0;0
235;Polizei;1;1;0;0;0;0;1;0;0;0;1
236;beleidigen;1;0;1;1;0;1;0;0;1;0;0
237;Nachfrage;1;0;1;1;0;0;0;0;0;0;0
238;beschäftigen;1;0;0;0;0;0;0;0;0;0;1
239;sterben;1;0;1;1;0;1;1;0;1;0;0
240;kalt;1;0;1;0;0;0;0;0;0;0;0
241;Unternehmen;1;0;0;0;1;0;0;0;0;0;0
242;Vergessenheit;1;0;1;1;0;0;1;0;0;0;0
243;unbegrenzt;1;1;0;0;0;0;0;0;0;0;0
244;Not;1;0;1;1;0;1;1;0;1;1;0
245;Anerkennung;1;1;0;0;0;0;0;1;0;0;1
246;Marine;1;0;0;0;0;0;0;0;0;0;1
247;leicht;1;1;0;0;0;0;0;0;0;0;0
248;verbunden;1;0;0;0;0;0;0;0;0;0;1
249;übersehen;1;0;1;0;0;0;0;0;0;0;0
250;Beleidigung;1;0;1;1;0;1;1;0;1;1;0
251;abenteuerlich;1;1;0;0;0;0;0;0;0;0;0
252;barbarisch;1;0;1;1;0;1;1;0;0;0;0
253;Nation;1;0;0;0;0;0;0;0;0;0;1
254;Wahnsinn;1;0;1;1;0;1;1;0;1;0;0
255;Versuchung;1;0;1;0;0;0;0;0;0;0;0
256;unzivilisiert;1;0;1;0;0;0;0;0;0;0;0
257;schmälern;1;0;1;1;0;1;1;0;1;0;0
258;statistisch;1;0;0;0;0;0;0;0;0;0;1
259;beenden;1;0;0;0;0;0;0;0;1;0;0
260;verbieten;1;0;1;1;0;0;1;0;1;0;0
261;Uhr;1;0;0;0;1;0;1;0;0;0;0
262;beliebt;1;1;0;0;0;0;0;0;0;0;0
263;erfahren;1;1;0;0;0;0;0;0;0;0;1
264;erzählen;1;1;0;0;0;0;0;0;0;0;0
265;benehmen;1;0;1;0;0;0;0;0;0;0;0
266;erschießen;1;0;1;0;0;0;0;0;0;0;0
267;Vorwurf;1;0;1;1;0;1;0;0;1;0;0
